region,legacy_dist_id,legacy_name,new_name,capital,category,pop2010,pop2021,status
Bono East,160,Nkoranza North,Nkoranza North,Busunya,District,65895,56468,MATCHED_EXACT
Bono East,161,Nkoranza South,Nkoranza South Municipal,Nkoranza,Municipal,100929,114642,MATCHED_EXACT
Bono East,,,Pru East,Yeji,District,72799,101545,NEW
Bono East,,,Pru West,Prang,District,56449,69383,NEW
Bono East,165,Sene East,Sene East,Kajaji,District,61076,72081,MATCHED_EXACT
Bono East,164,Sene West,Sene West,Kwame Danso,District,57734,69836,MATCHED_EXACT
Bono East,157,Techiman Municipal,Techiman Municipal,Techiman,Municipal,147788,243335,MATCHED_EXACT
Bono East,166,Techiman North,Techiman North,Tuobodom,District,59068,102529,MATCHED_EXACT
Bono East,163,Pru,,,,,,UNMATCHED_LEGACY
Central,25,Abura-Asebu-Kwamankese,Abura-Asebu-Kwamankese,Abura-Dunkwa,District,117185,124465,MATCHED_EXACT
Central,35,Agona East,Agona East,Nsaba,District,85920,98324,MATCHED_EXACT
Central,34,Agona West Municipal,Agona West Municipal,Agona Swedru,Municipal,115358,136882,MATCHED_EXACT
Central,28,Ajumako-Enyan-Esiam,Ajumako-Enyan-Essiam,Ajumako,District,138046,120586,MATCHED_FUZZY
Central,36,Asikuma-Odoben-Brakwa,Asikuma-Odoben-Brakwa,Breman Asikuma,District,129580,126993,MATCHED_EXACT
Central,,,Assin Central Municipal,Assin Foso,Municipal,76525,88753,NEW
Central,37,Assin North Municipal,Assin North,Assin Bereku,District,67942,80539,MATCHED_EXACT
Central,38,Assin South,Assin South,Nsuaem,District,104244,105995,MATCHED_EXACT
Central,33,Awutu-Senya East Municipal,Awutu Senya East Municipal,Kasoa,Municipal,108422,236527,MATCHED_EXACT
Central,32,Awutu-Senya West,Awutu Senya West,Awutu Breku,District,86884,161460,MATCHED_EXACT
Central,24,Cape Coast,Cape Coast Metropolitan,Cape Coast,Metropolitan,169894,189925,MATCHED_EXACT
Central,31,Effutu Municipal,Effutu Municipal,Winneba,Municipal,68597,107798,MATCHED_EXACT
Central,27,Ekumfi,Ekumfi,Esakyir,District,52231,56741,MATCHED_EXACT
Central,,,Gomoa Central,Afransi,District,138790,83610,NEW
Central,30,Gomoa East,Gomoa East,Potsin,District,68281,308697,MATCHED_EXACT
Central,29,Gomoa West,Gomoa West,Apam,District,135189,129512,MATCHED_EXACT
Central,23,KEEA Municipal,Komenda-Edina-Eguafo-Abirem Municipal,Elmina,Municipal,144705,166017,MATCHED_FUZZY
Central,26,Mfantseman,Mfantsiman Municipal,Saltpond,Municipal,144332,168905,MATCHED_FUZZY
Central,39,Twifo-Atii Morkwaa,Twifo-Ati Morkwa,Twifo Praso,District,61743,100851,MATCHED_FUZZY
Central,40,Hemang-Lower Denkyira,Twifo-Heman-Lower Denkyira,Hemang,District,55131,66075,MATCHED_FUZZY
Central,41,Upper Denkyira East Municipal,Upper Denkyira East Municipal,Dunkwa-on-Offin,Municipal,72810,110141,MATCHED_EXACT
Central,42,Upper Denkyira West,Upper Denkyira West,Diaso,District,49520,66372,MATCHED_EXACT
Eastern,89,Akwapem North,Akuapim North Municipal,Akropong,Municipal,91243,118560,MATCHED_FUZZY
Eastern,90,Akwapem South,Akuapim South,Aburi,District,78430,104210,MATCHED_FUZZY
Eastern,,,Achiase,Achiase,District,45120,52190,NEW
Eastern,98,Akyemansa,Akyemansa,Ofoase,District,64520,79340,MATCHED_EXACT
Eastern,,,Asene Manso Akroso,Manso,District,55430,68920,NEW
Eastern,84,Asuogyaman,Asuogyaman,Atimpoku,District,72150,89670,MATCHED_EXACT
Eastern,103,Atiwa,Atiwa East,Anyinam,District,58920,74320,MATCHED_FUZZY
Eastern,,,Atiwa West,Kwabeng,District,47230,60540,NEW
Eastern,93,Ayensuano,Ayensuano,Coaltar,District,56340,70280,MATCHED_EXACT
Eastern,96,Birim Central Municipal,Birim Central Municipal,Akim Oda,Municipal,104523,133450,MATCHED_EXACT
Eastern,101,Birim North,Birim North,New Abirem,District,72340,91870,MATCHED_EXACT
Eastern,97,Birim South,Birim South,Akim Swedru,District,47820,60120,MATCHED_EXACT
Eastern,100,Denkyembour,Denkyembour,Akwatia,District,83450,104560,MATCHED_EXACT
Eastern,104,Fanteakwa,Fanteakwa North,Begoro,District,75230,94810,MATCHED_FUZZY
Eastern,,,Fanteakwa South,Osino,District,46780,59320,NEW
Eastern,99,Kwabibirem,Kwaebibirem Municipal,Kade,Municipal,98340,123410,MATCHED_FUZZY
Eastern,108,Afram Plains North,Kwahu Afram Plains North,Donkorkrom,District,66210,83580,MATCHED_FUZZY
Eastern,109,Afram Plains South,Kwahu Afram Plains South,Tease,District,54320,68540,MATCHED_FUZZY
Eastern,107,Kwahu East,Kwahu East,Abetifi,District,68450,86540,MATCHED_EXACT
Eastern,106,Kwahu South,Kwahu South,Mpraeso,District,71230,89760,MATCHED_EXACT
Eastern,105,Kwahu West Municipal,Kwahu West Municipal,Nkawkaw,Municipal,111340,140210,MATCHED_EXACT
Eastern,85,Lower Manya Krobo Municipal,Lower Manya Krobo Municipal,Krobo Odumase,Municipal,84320,106430,MATCHED_EXACT
Eastern,88,New Juaben Municipal,New Juaben North Municipal,Effiduase,Municipal,68230,88910,MATCHED_FUZZY
Eastern,,,New Juaben South Municipal,Koforidua,Municipal,114242,148560,NEW
Eastern,91,Nsawam Municipal,Nsawam Adoagyire Municipal,Nsawam,Municipal,117340,148120,MATCHED_FUZZY
Eastern,,,Okere,Adukrom,District,44230,55890,NEW
Eastern,92,Suhum Municipal,Suhum Municipal,Suhum,Municipal,95340,120540,MATCHED_EXACT
Eastern,86,Upper Manya Krobo,Upper Manya Krobo,Asesewa,District,72340,91230,MATCHED_EXACT
Eastern,95,Upper-West Akim,Upper West Akim,Adeiso,District,66420,83760,MATCHED_EXACT
Eastern,94,West Akim Municipal,West Akim Municipal,Asamankese,Municipal,108230,136540,MATCHED_EXACT
Eastern,87,Yilo Krobo Municipal,Yilo-Krobo Municipal,Somanya,Municipal,108450,137230,MATCHED_EXACT
Greater Accra,,,Ablekuma Central Municipal,Lartebiokorshie,Municipal,115000,186330,NEW
Greater Accra,,,Ablekuma North Municipal,Darkuman,Municipal,130500,210870,NEW
Greater Accra,,,Ablekuma West Municipal,Dansoman,Municipal,168000,271520,NEW
Greater Accra,47,Accra Metropolis,Accra Metropolitan,Accra,Metropolitan,1848614,2514000,MATCHED_EXACT
Greater Accra,58,Ada East,Ada East,Ada Foah,District,72680,89450,MATCHED_EXACT
Greater Accra,57,Ada West,Ada West,Sege,District,56420,69540,MATCHED_EXACT
Greater Accra,54,Adenta Municipal,Adenta Municipal,Adenta,Municipal,113162,183200,MATCHED_EXACT
Greater Accra,53,Ashaiman Municipal,Ashaiman Municipal,Ashaiman,Municipal,190972,291870,MATCHED_EXACT
Greater Accra,,,Ayawaso Central Municipal,Kokomlemle,Municipal,82000,132450,NEW
Greater Accra,,,Ayawaso East Municipal,Nima,Municipal,78000,126120,NEW
Greater Accra,,,Ayawaso North Municipal,Accra New Town,Municipal,89000,143870,NEW
Greater Accra,,,Ayawaso West Municipal,Dzorwulu,Municipal,104000,168120,NEW
Greater Accra,44,Ga Central Municipal,Ga Central Municipal,Sowutuom,Municipal,114000,184230,MATCHED_EXACT
Greater Accra,46,Ga East Municipal,Ga East Municipal,Abokobi,Municipal,130255,210540,MATCHED_EXACT
