suggested_filename,display_name,primary_candidate_id,years_contested,parties_contested,current_photo_url,candidate_ids,image_filename
cmr5c3pcb002t7964wkkrbaci.jpg,John Dramani Mahama,cmr5c3pcb002t7964wkkrbaci,2012;2016;2020;2024,NDC,,cmr5c3pcb002t7964wkkrbaci;cmr6cx9sa00vz79w4yhdisgb2;cmrel73kp0003791g6ou1jyfj;cmr8teefp000j793gchdrw6q2,cmr5c3pcb002t7964wkkrbaci.png
cmr8teaal000d793gxoq9vpla.jpg,Kofi Akpaloo,cmr8teaal000d793gxoq9vpla,2024,LPG,,cmr8teaal000d793gxoq9vpla,cmr8teaal000d793gxoq9vpla.png
cmr8teh3j000n793gjgk5ct3s.jpg,Kofi Koranteng,cmr8teh3j000n793gjgk5ct3s,2024,IND,,cmr8teh3j000n793gjgk5ct3s,cmr8teh3j000n793gjgk5ct3s.png
cmrel7c3b000f791g1p9tg3wh.jpg,Kofi Percival Akpaloo,cmr8teaal000d793gxoq9vpla,2020,LPG,,cmrel7c3b000f791g1p9tg3wh,cmr8teaal000d793gxoq9vpla.png
cmr5c3pcb002o7964o5ep9bbd.jpg,Kwabena Adjei,cmr5c3pcb002o7964o5ep9bbd,2008,NVP,,cmr5c3pcb002o7964o5ep9bbd,cmr5c3pcb002o7964o5ep9bbd.png
cmr5c3pca00227964ds53t69g.jpg,Kwabena Darko,cmr5c3pca00227964ds53t69g,1992,NIP,,cmr5c3pca00227964ds53t69g,cmr5c3pca00227964ds53t69g.png
cmr5c3pcb002z7964cj5mlohs.jpg,Kwasi Addai Odike,cmr5c3pcb002z7964cj5mlohs,2012,UFP,,cmr5c3pcb002z7964cj5mlohs,cmr5c3pcb002z7964cj5mlohs.png
cmr5c3pcb002q7964o9gnnd0a.jpg,Kwesi Amoafo-Yeboah,cmr5c3pcb002q7964o9gnnd0a,2008,IND,,cmr5c3pcb002q7964o9gnnd0a,cmr5c3pcb002q7964o9gnnd0a.png
cmr8te5840005793gh32f9h6v.jpg,Mahamudu Bawumia,cmr8te5840005793gh32f9h6v,2024,NPP,,cmr8te5840005793gh32f9h6v,cmr8te5840005793gh32f9h6v.png
cmr8tebqq000f793gm844gkfi.jpg,Mohammed Frimpong,cmr8tebqq000f793gm844gkfi,2024,NDP,,cmr8tebqq000f793gm844gkfi,cmr8tebqq000f793gm844gkfi.png
cmr5c3pca002k79645ocb8oda.jpg,Nana Addo D. Akufo-Addo,cmr5c3pca002k79645ocb8oda,2008;2008;2012;2016,NPP,,cmr5c3pca002k79645ocb8oda;cmr5c3pcb002s79648584cdff;cmr5c3pcb002u7964jmm45voq;cmr6cxd1z00w379w46jbl3apv,cmr5c3pca002k79645ocb8oda.png
cmrel724n0001791g55oh3etm.jpg,Nana Addo Dankwa Akufo-Addo,cmr5c3pca002k79645ocb8oda,2020,NPP,,cmrel724n0001791g55oh3etm,cmr5c3pca002k79645ocb8oda.png
cmr8ted2y000h793g4v37d98v.jpg,Nana Akosua Frimpomaa,cmr8ted2y000h793g4v37d98v,2024,CPP,,cmr8ted2y000h793g4v37d98v,cmr8ted2y000h793g4v37d98v.png
cmr6cx8i500vx79w4sonqy8dl.jpg,Nana Konadu Agyeman-Rawlings,cmr6cx8i500vx79w4sonqy8dl,2016;2020,NDP,,cmr6cx8i500vx79w4sonqy8dl;cmrel7g7a000l791gud4islvh,cmr6cx8i500vx79w4sonqy8dl.png
cmr8tejs3000r793gmoa1on2q.jpg,Nana Kwame Bediako,cmr8tejs3000r793gmoa1on2q,2024,IND,,cmr8tejs3000r793gmoa1on2q,cmr8tejs3000r793gmoa1on2q.png
cmr5c3pca001z7964uahqe1vt.jpg,Prof. Albert Adu-Boahen,cmr5c3pca001z7964uahqe1vt,1992,NPP,,cmr5c3pca001z7964uahqe1vt,cmr5c3pca001z7964uahqe1vt.png
cmr5c3pca00297964lambvz4n.jpg,Prof. George Hagan,cmr5c3pca00297964lambvz4n,2000,CPP,,cmr5c3pca00297964lambvz4n,cmr5c3pca00297964lambvz4n.png
cmr5c3pca002679645aoqnwy1.jpg,Prof. John Evans Fiifi Atta-Mills,cmr5c3pca002679645aoqnwy1,2000;2000;2004;2008;2008,NDC,,cmr5c3pca002679645aoqnwy1;cmr5c3pca002d79646canl5yt;cmr5c3pca002f7964h7du7xza;cmr5c3pcb002r7964anxl2044;cmr5c3pca002j796436176we2,cmr5c3pca002679645aoqnwy1.png
cmr5c3pcb002n7964pi20vg3h.jpg,T. N. Ward-Brew,cmr5c3pcb002n7964pi20vg3h,2008,DPP,,cmr5c3pcb002n7964pi20vg3h,cmr5c3pcb002n7964pi20vg3h.png
